timestamp_ms,estado
1750241123872,ON
1750241125791,OFF
1750241127857,ON
1750241129680,OFF
1750241131091,ON
1750241131945,OFF
1750241132511,ON
1750241133240,OFF
1750241133445,ON
1750241133650,OFF
1750241133853,ON
1750241134057,OFF
1750241134275,ON
1750241134590,OFF
1750241135046,ON
1750241135250,OFF
1750241135453,ON
1750241135674,OFF
1750241136275,ON
1750241136479,OFF
1750241136699,ON
1750241136904,OFF
1750241137107,ON
1750241137327,OFF
1750241137530,ON
1750241137732,OFF
1750241137951,ON
1750241138171,OFF
1750241145648,ON
1750241147234,OFF
1750241149424,ON
1750241149737,OFF
1750241149941,ON
1750241150158,OFF
1750241150361,ON
1750241150563,OFF
1750241150767,ON
1750241150985,OFF
1750241151187,ON
1750241151392,OFF
1750241151597,ON
1750241151800,OFF
1750241152003,ON
1750241152208,OFF
1750241152427,ON
1750241152645,OFF
1750241152847,ON
1750241153065,OFF
1750241153268,ON
1750241153488,OFF
1750241153693,ON
1750241153897,OFF
1750241154102,ON
1750241154306,OFF
1750241154509,ON
1750241154714,OFF
1750241154916,ON
1750241155119,OFF
1750241155326,ON
1750241155529,OFF
1750241155733,ON
1750241155957,OFF
1750241156164,ON
1750241156383,OFF
1750241156588,ON
1750241156793,OFF
1750241156996,ON
1750241157216,OFF
1750241157433,ON
1750241157652,OFF
1750241157855,ON
1750241158058,OFF
1750241158262,ON
1750241158464,OFF
1750241158669,ON
1750241158874,OFF
1750241159077,ON
1750241159278,OFF
1750241159527,ON
1750241159741,OFF
1750241159946,ON
1750241160165,OFF
1750241160370,ON
1750241160573,OFF
1750241160777,ON
1750241160980,OFF
1750241161214,ON
1750241161418,OFF
1750241161623,ON
1750241161825,OFF
1750241162078,ON
1750241162280,OFF
1750241168779,ON
1750241168996,OFF
1750241169199,ON
1750241169400,OFF
1750241169621,ON
1750241169825,OFF
1750241170045,ON
