timestamp_ms,estado
1750241912548,ON
1750241913845,OFF
1750241914205,ON
1750241914552,OFF
1750241914773,ON
1750241915105,OFF
1750241915310,ON
1750241915592,OFF
1750241915800,ON
1750241916019,OFF
1750241916239,ON
1750241916443,OFF
1750241916663,ON
1750241916883,OFF
1750241917101,ON
1750241917319,OFF
1750241917523,ON
1750241917792,OFF
1750241917997,ON
1750241918202,OFF
1750241918407,ON
1750241918849,OFF
1750241919054,ON
1750241919258,OFF
1750241919461,ON
1750241919679,OFF
1750241919884,ON
1750241920088,OFF
1750241920292,ON
1750241920497,OFF
1750241920701,ON
1750241920906,OFF
1750241921945,ON
1750241923188,OFF
1750241924405,ON
1750241924749,OFF
1750241925096,ON
1750241925298,OFF
1750241925504,ON
1750241925708,OFF
1750241925928,ON
1750241926148,OFF
1750241927042,ON
1750241927259,OFF
