timestamp_ms,estado
1750237303870,ON
1750237304091,OFF
1750237304311,ON
1750237310242,OFF
1750237311239,ON
1750237313508,OFF
1750237315377,ON
1750237316358,OFF
1750237316562,ON
1750237316766,OFF
1750237316986,ON
1750237317190,OFF
1750237317410,ON
1750237317629,OFF
1750237317833,ON
1750237323078,OFF
1750237323283,ON
1750237323503,OFF
1750237324025,ON
1750237325708,OFF
1750237325911,ON
1750237326862,OFF
1750237327067,ON
1750237327286,OFF
1750237327810,ON
1750237328104,OFF
1750237328307,ON
1750237328525,OFF
1750237328743,ON
1750237328946,OFF
1750237332991,ON
1750237333258,OFF
1750237333462,ON
1750237333665,OFF
1750237333885,ON
1750237334103,OFF
1750237334323,ON
1750237334670,OFF
1750237334889,ON
1750237335093,OFF
1750237335298,ON
1750237335516,OFF
1750237335719,ON
1750237335923,OFF
1750237336141,ON
1750237336358,OFF
1750237336562,ON
1750237336767,OFF
1750237336985,ON
1750237337188,OFF
1750237337408,ON
1750237337614,OFF
1750237337818,ON
1750237338036,OFF
1750237338445,ON
1750237339173,OFF
1750237339377,ON
1750237339644,OFF
1750237339845,ON
1750237340065,OFF
1750237340269,ON
1750237340488,OFF
1750237340691,ON
1750237340897,OFF
1750237341115,ON
1750237341335,OFF
1750237341555,ON
1750237341776,OFF
1750237341979,ON
1750237342200,OFF
1750237342405,ON
1750237342608,OFF
1750237342827,ON
1750237343048,OFF
1750237343254,ON
1750237343458,OFF
1750237343805,ON
1750237344149,OFF
1750237344353,ON
1750237344556,OFF
1750237344773,ON
1750237344990,OFF
1750237352672,ON
1750237353051,OFF
1750237353255,ON
1750237353460,OFF
1750237353949,ON
1750237354153,OFF
1750237354356,ON
1750237358175,OFF
1750237358377,ON
1750237361764,OFF
1750237363078,ON
1750237363296,OFF
1750237363657,ON
1750237363860,OFF
1750237364081,ON
1750237364285,OFF
1750237364505,ON
1750237364755,OFF
