timestamp_ms,estado
1750341402979,ON
1750341405560,OFF
1750341407932,ON
1750341410237,OFF
1750341411829,ON
1750341414473,OFF
1750341414681,ON
1750341414888,OFF
1750341416770,ON
1750341418366,OFF
1750341443824,ON
1750341444223,OFF
1750341444430,ON
1750341444638,OFF
1750341444845,ON
1750341445051,OFF
1750341447364,ON
1750341447570,OFF
1750341447778,ON
1750341447983,OFF
1750341448190,ON
1750341448446,OFF
1750341448860,ON
1750341449067,OFF
1750341457197,ON
1750341457562,OFF
1750341457766,ON
