emg_timestamp_ms;fes_timestamp_ms;estado
1750416952408;1750416952623;ON
1750416956609;1750416956812;OFF
1750416956816;1750416957017;ON
1750416957019;1750416957223;OFF
1750416957225;1750416957430;ON
1750416957431;1750416957634;OFF
1750416960150;1750416960352;ON
1750416961456;1750416961671;OFF
1750416961671;1750416961875;ON
1750416961875;1750416962079;OFF
1750416969750;1750416969957;ON
1750416973444;1750416973655;OFF
1750416973655;1750416973857;ON
1750416973863;1750416974075;OFF
1750416974077;1750416974282;ON
1750416974282;1750416974486;OFF
1750416975989;1750416976202;ON
1750416979621;1750416979824;OFF
1750416979825;1750416980027;ON
1750416980029;1750416980232;OFF
1750416985700;1750416985902;ON
1750416985906;1750416986107;OFF
1750416986109;1750416986325;ON
1750416986326;1750416986528;OFF
1750416987426;1750416987632;ON
1750416988045;1750416988260;OFF
1750416988260;1750416988463;ON
1750416988466;1750416988667;OFF
1750416988667;1750416988872;ON
1750416988872;1750416989077;OFF
1750416989077;1750416989281;ON
1750416989283;1750416989488;OFF
1750416989731;1750416989943;ON
1750416989944;1750416990146;OFF
1750416990146;1750416990347;ON
