emg_timestamp_ms;fes_timestamp_ms;estado
1750673538972;1750673538972;ON
1750673542140;1750673542140;OFF
1750673545978;1750673545978;ON
1750673548572;1750673548572;OFF
1750673550695;1750673550695;ON
1750673552606;1750673552606;OFF
1750673554796;1750673554796;ON
1750673556363;1750673556363;OFF
1750673556580;1750673556580;ON
1750673556798;1750673556798;OFF
1750673559388;1750673559388;ON
1750673560543;1750673560543;OFF
1750673560767;1750673560767;ON
1750673560983;1750673560983;OFF
1750673563259;1750673563259;ON
1750673565661;1750673565661;OFF
