timestamp_ms,estado
1750246939459,ON
1750246939742,OFF
1750246940964,ON
1750246941250,OFF
1750246944492,ON
1750246944825,OFF
1750246945632,ON
1750246945980,OFF
1750246946262,ON
1750246946562,OFF
1750246946781,ON
1750246947144,OFF
1750246947983,ON
1750246948588,OFF
1750246948841,ON
1750246949112,OFF
1750246949335,ON
1750246949607,OFF
1750246950035,ON
1750246950286,OFF
1750246950541,ON
1750246950921,OFF
1750246951312,ON
1750246951611,OFF
1750246951911,ON
1750246952226,OFF
1750246952872,ON
1750246953108,OFF
1750246953360,ON
1750246953626,OFF
1750246954833,ON
1750246957120,OFF
1750246962175,ON
1750246962442,OFF
1750246964484,ON
1750246970267,OFF
1750246970501,ON
1750246970783,OFF
1750246973069,ON
1750246974798,OFF
1750246984196,ON
1750246986201,OFF
1750246997968,ON
1750247002452,OFF
1750247003814,ON
1750247004697,OFF
1750247005331,ON
1750247006167,OFF
1750247006433,ON
1750247006701,OFF
1750247007078,ON
1750247007853,OFF
1750247008293,ON
1750247008930,OFF
1750247009435,ON
1750247010052,OFF
1750247010528,ON
1750247011083,OFF
1750247011575,ON
1750247012307,OFF
1750247012842,ON
1750247015392,OFF
1750247019577,ON
1750247020035,OFF
1750247020271,ON
1750247020522,OFF
