emg_timestamp_ms;fes_timestamp_ms;estado
1750417071881;1750417072094;ON
1750417075914;1750417076121;OFF
1750417076124;1750417076327;ON
1750417076329;1750417076533;OFF
1750417076535;1750417076739;ON
1750417076742;1750417076955;OFF
1750417081396;1750417081607;ON
1750417086091;1750417086305;OFF
1750417086307;1750417086510;ON
1750417086511;1750417086715;OFF
1750417088382;1750417088586;ON
1750417091064;1750417091275;OFF
1750417092875;1750417093086;ON
1750417095778;1750417095983;OFF
1750417111284;1750417111485;ON
1750417113610;1750417113821;OFF
1750417114967;1750417115169;ON
1750417116223;1750417116423;OFF
1750417117741;1750417117945;ON
1750417118070;1750417118273;OFF
1750417118440;1750417118652;ON
1750417118654;1750417118857;OFF
