timestamp_ms,estado
1750242308457,ON
1750242308661,OFF
1750242308866,ON
1750242309071,OFF
1750242309277,ON
1750242309481,OFF
1750242309685,ON
1750242309890,OFF
1750242310097,ON
1750242310302,OFF
1750242310506,ON
1750242310710,OFF
1750242310914,ON
1750242311118,OFF
1750242311321,ON
1750242311527,OFF
1750242311732,ON
1750242311939,OFF
1750242312144,ON
1750242312350,OFF
1750242312552,ON
1750242312758,OFF
1750242312962,ON
1750242313168,OFF
1750242313374,ON
1750242313591,OFF
1750242313796,ON
1750242314000,OFF
1750242314202,ON
1750242314408,OFF
1750242314609,ON
1750242314811,OFF
1750242315030,ON
1750242315232,OFF
1750242315438,ON
1750242315642,OFF
1750242315845,ON
1750242316046,OFF
1750242316250,ON
1750242316453,OFF
1750242316670,ON
1750242316874,OFF
1750242317080,ON
1750242317284,OFF
1750242317491,ON
1750242317697,OFF
1750242317899,ON
1750242318101,OFF
1750242318306,ON
1750242318508,OFF
1750242318709,ON
1750242318911,OFF
1750242319117,ON
1750242319320,OFF
1750242319523,ON
1750242319723,OFF
1750242319927,ON
1750242320128,OFF
1750242320330,ON
