timestamp_ms,estado
1750239780959,ON
1750239784064,OFF
1750239795598,ON
1750239798389,OFF
1750239800778,ON
1750239802365,OFF
1750239802569,ON
1750239802789,OFF
1750239803231,ON
1750239803450,OFF
1750239804591,ON
1750239804797,OFF
1750239805002,ON
1750239805206,OFF
1750239806298,ON
1750239806519,OFF
1750239807661,ON
1750239808181,OFF
1750239808387,ON
1750239808591,OFF
1750239809304,ON
1750239809510,OFF
1750239810000,ON
1750239810281,OFF
1750239810565,ON
1750239810770,OFF
1750239811560,ON
1750239812174,OFF
1750239812378,ON
1750239812582,OFF
1750239812801,ON
1750239813005,OFF
1750239813222,ON
1750239813442,OFF
1750239813646,ON
1750239813863,OFF
