emg_timestamp_ms;fes_timestamp_ms;estado
1750416789341;1750416789549;ON
1750416795618;1750416795829;OFF
1750416795835;1750416796049;ON
1750416796051;1750416796253;OFF
1750416798344;1750416798544;ON
1750416800608;1750416800818;OFF
1750416800819;1750416801025;ON
1750416801027;1750416801227;OFF
1750416812330;1750416812536;ON
1750416818164;1750416818373;OFF
1750416819680;1750416819882;ON
1750416823195;1750416823406;OFF
1750416837867;1750416838069;ON
1750416842610;1750416842823;OFF
1750416844447;1750416844662;ON
1750416847336;1750416847540;OFF
1750416857603;1750416857808;ON
1750416860256;1750416860470;OFF
1750416860471;1750416860673;ON
1750416860674;1750416860876;OFF
1750416860878;1750416861079;ON
1750416861080;1750416861296;OFF
1750416863220;1750416863422;ON
1750416866098;1750416866302;OFF
1750416866303;1750416866508;ON
1750416866510;1750416866725;OFF
1750416866726;1750416866928;ON
1750416866929;1750416867131;OFF
1750416873321;1750416873536;ON
1750416877770;1750416877971;OFF
1750416877971;1750416878173;ON
1750416878175;1750416878377;OFF
1750416879602;1750416879802;ON
1750416882721;1750416882922;OFF
1750416882922;1750416883128;ON
1750416883136;1750416883348;OFF
1750416886102;1750416886303;ON
1750416889535;1750416889737;OFF
1750416891309;1750416891518;ON
1750416893205;1750416893410;OFF
1750416893411;1750416893615;ON
1750416893616;1750416893819;OFF
1750416902420;1750416902630;ON
1750416907903;1750416908117;OFF
1750416909852;1750416910067;ON
1750416910068;1750416910272;OFF
1750416910272;1750416910478;ON
1750416910479;1750416910681;OFF
1750416910682;1750416910886;ON
