timestamp_ms,estado
1750239963221,ON
1750239970618,OFF
1750239978017,ON
1750239981077,OFF
1750239987111,ON
1750239987316,OFF
1750239988029,ON
1750239988470,OFF
1750239990565,ON
1750239991227,OFF
1750239991431,ON
1750239991742,OFF
1750239991946,ON
1750239992165,OFF
1750239992386,ON
1750239992685,OFF
1750239994571,ON
1750239994822,OFF
1750239995027,ON
1750239995545,OFF
1750239996033,ON
1750239996237,OFF
1750239996504,ON
1750239996708,OFF
1750239996927,ON
1750239997525,OFF
1750239998663,ON
1750239999101,OFF
1750240001349,ON
1750240001710,OFF
1750240001915,ON
