timestamp_ms,estado
1750243980688,ON
1750243981034,OFF
1750243981239,ON
1750243981442,OFF
1750243981646,ON
1750243982027,OFF
1750243982233,ON
1750243982441,OFF
1750243982645,ON
1750243982863,OFF
1750243983070,ON
1750243983274,OFF
1750243983479,ON
1750243983699,OFF
1750243983905,ON
1750243984124,OFF
1750243984329,ON
1750243984531,OFF
1750243984734,ON
1750243984939,OFF
1750243985144,ON
1750243985348,OFF
1750243985550,ON
1750243985754,OFF
1750243987529,ON
1750243987732,OFF
1750243987937,ON
1750243988141,OFF
1750243988348,ON
1750243988564,OFF
1750243988768,ON
1750243988972,OFF
1750243989178,ON
1750243989382,OFF
1750243989586,ON
1750243989791,OFF
1750243989996,ON
1750243990201,OFF
1750243990407,ON
1750243990610,OFF
1750243990815,ON
1750243991033,OFF
1750243991235,ON
1750243991439,OFF
1750243991643,ON
1750243991863,OFF
1750243992067,ON
1750243992272,OFF
1750243992477,ON
1750243992682,OFF
1750243992886,ON
1750243993088,OFF
1750243993292,ON
1750243993497,OFF
1750243993702,ON
