emg_timestamp_ms;fes_timestamp_ms;estado
1750415719319;1750415719529;ON
1750415725022;1750415725230;OFF
1750415725233;1750415725447;ON
1750415725452;1750415725652;OFF
1750415725654;1750415725858;ON
1750415725859;1750415726062;OFF
1750415726968;1750415727174;ON
1750415727175;1750415727380;OFF
1750415727381;1750415727584;ON
1750415727587;1750415727791;OFF
1750415727792;1750415727993;ON
1750415727995;1750415728196;OFF
1750415728197;1750415728400;ON
1750415728401;1750415728604;OFF
1750415728605;1750415728810;ON
1750415728813;1750415729016;OFF
1750415729016;1750415729220;ON
1750415729222;1750415729426;OFF
1750415729427;1750415729630;ON
1750415729631;1750415729836;OFF
1750415729838;1750415730040;ON
1750415730042;1750415730248;OFF
1750415730279;1750415730484;ON
1750415730492;1750415730706;OFF
