emg_timestamp_ms;fes_timestamp_ms;estado
1750416686724;1750416686929;ON
1750416690713;1750416690920;OFF
1750416690921;1750416691126;ON
1750416691129;1750416691331;OFF
1750416691332;1750416691533;ON
1750416691533;1750416691739;OFF
1750416691739;1750416691945;ON
1750416691948;1750416692150;OFF
1750416695039;1750416695254;ON
1750416702904;1750416703113;OFF
1750416703114;1750416703321;ON
1750416703324;1750416703538;OFF
1750416718311;1750416718519;ON
1750416723491;1750416723705;OFF
1750416723709;1750416723924;ON
1750416723925;1750416724128;OFF
1750416732037;1750416732241;ON
1750416735258;1750416735472;OFF
1750416743386;1750416743592;ON
1750416743593;1750416743796;OFF
1750416743798;1750416743999;ON
1750416743999;1750416744202;OFF
