emg_timestamp_ms;fes_timestamp_ms;estado
1750426950189;1750426950403;ON
1750426951728;1750426951939;OFF
1750426951942;1750426952143;ON
1750426952145;1750426952347;OFF
1750426952349;1750426952551;ON
1750426952554;1750426952758;OFF
1750426952764;1750426952979;ON
1750426952980;1750426953183;OFF
1750426956176;1750426956381;ON
1750426957179;1750426957391;OFF
1750426957392;1750426957596;ON
1750426957601;1750426957813;OFF
1750426957813;1750426958016;ON
1750426958018;1750426958223;OFF
1750426958224;1750426958427;ON
1750426958428;1750426958632;OFF
1750426960243;1750426960455;ON
1750426961071;1750426961277;OFF
1750426961277;1750426961480;ON
1750426961481;1750426961683;OFF
1750426963110;1750426963314;ON
1750426963319;1750426963533;OFF
1750426963534;1750426963736;ON
