emg_timestamp_ms;fes_timestamp_ms;estado
1750672444880;1750672444880;ON
1750672445639;1750672445639;OFF
1750672445848;1750672445848;ON
1750672446365;1750672446365;OFF
1750672454551;1750672454551;ON
1750672455350;1750672455350;OFF
1750672455557;1750672455557;ON
1750672456262;1750672456262;OFF
1750672456477;1750672456477;ON
1750672456994;1750672456994;OFF
1750672463696;1750672463696;ON
1750672465679;1750672465679;OFF
1750672465910;1750672465910;ON
1750672466423;1750672466423;OFF
1750672466641;1750672466641;ON
1750672466855;1750672466855;OFF
1750672469518;1750672469518;ON
