emg_timestamp_ms;fes_timestamp_ms;estado
1750684730186;1750684730186;ON
1750684732823;1750684732823;OFF
1750684733036;1750684733036;ON
1750684733239;1750684733239;OFF
1750684736206;1750684736206;ON
1750684739448;1750684739448;OFF
1750684739667;1750684739667;ON
1750684739885;1750684739885;OFF
1750684740644;1750684740644;ON
1750684740853;1750684740853;OFF
1750684742768;1750684742768;ON
1750684742979;1750684742979;OFF
1750684743206;1750684743206;ON
1750684744789;1750684744789;OFF
1750684744994;1750684744994;ON
1750684746404;1750684746404;OFF
1750684747033;1750684747033;ON
1750684747240;1750684747240;OFF
1750684748320;1750684748320;ON
1750684748529;1750684748529;OFF
1750684748755;1750684748755;ON
1750684748965;1750684748965;OFF
1750684750614;1750684750614;ON
1750684753109;1750684753109;OFF
1750684753711;1750684753711;ON
1750684753925;1750684753925;OFF
1750684756584;1750684756584;ON
1750684759224;1750684759224;OFF
