timestamp_ms,estado
1750242750909,ON
1750242754491,OFF
1750242754696,ON
1750242754912,OFF
1750242756803,ON
1750242757352,OFF
1750242757556,ON
1750242757775,OFF
1750242759139,ON
1750242760876,OFF
1750242763499,ON
1750242765925,OFF
1750242770589,ON
1750242773191,OFF
1750242775661,ON
1750242777455,OFF
1750242778533,ON
1750242778734,OFF
1750242778953,ON
1750242779158,OFF
1750242782382,ON
1750242783222,OFF
1750242783427,ON
1750242783645,OFF
1750242783849,ON
1750242784054,OFF
1750242784273,ON
1750242784476,OFF
1750242784695,ON
1750242784914,OFF
1750242790059,ON
1750242791133,OFF
1750242791352,ON
1750242791555,OFF
1750242791757,ON
1750242791979,OFF
1750242792198,ON
1750242792417,OFF
1750242796169,ON
1750242801948,OFF
1750242802152,ON
1750242805527,OFF
1750242815560,ON
1750242819378,OFF
1750242819580,ON
1750242821482,OFF
1750242821685,ON
1750242821969,OFF
1750242822172,ON
1750242822377,OFF
1750242822580,ON
1750242825395,OFF
1750242825610,ON
1750242825829,OFF
1750242826032,ON
1750242832144,OFF
1750242832347,ON
1750242832551,OFF
1750242834715,ON
1750242834920,OFF
1750242835123,ON
