timestamp_ms,estado
1750240900104,ON
1750240904060,OFF
1750240904266,ON
1750240904485,OFF
1750240908949,ON
1750240909155,OFF
1750240914950,ON
1750240915487,OFF
1750240915691,ON
1750240916833,OFF
1750240917038,ON
1750240917958,OFF
1750240918161,ON
1750240918380,OFF
1750240918583,ON
1750240918789,OFF
1750240918994,ON
1750240919214,OFF
1750240919431,ON
1750240919636,OFF
1750240919840,ON
1750240920059,OFF
1750240920262,ON
1750240920482,OFF
1750240920685,ON
1750240920904,OFF
1750240921108,ON
1750240921327,OFF
1750240921531,ON
1750240921735,OFF
1750240921937,ON
1750240923010,OFF
1750240923213,ON
1750240923419,OFF
1750240923622,ON
1750240923845,OFF
1750240924049,ON
1750240926004,OFF
1750240926208,ON
1750240926905,OFF
1750240927110,ON
1750240927313,OFF
1750240927535,ON
1750240927740,OFF
1750240927944,ON
1750240928163,OFF
1750240928367,ON
1750240928572,OFF
1750240928778,ON
1750240928996,OFF
1750240929198,ON
1750240929417,OFF
1750240929622,ON
1750240929841,OFF
1750240930045,ON
1750240930261,OFF
1750240930465,ON
1750240930685,OFF
1750240930903,ON
1750240931123,OFF
1750240931325,ON
1750240931528,OFF
1750240931732,ON
1750240931982,OFF
1750240932187,ON
1750240932407,OFF
1750240932611,ON
1750240932830,OFF
1750240933035,ON
1750240933256,OFF
1750240933461,ON
1750240934430,OFF
1750240934632,ON
1750240937211,OFF
1750240937415,ON
1750240939168,OFF
1750240939372,ON
1750240940116,OFF
1750240940320,ON
1750240941912,OFF
1750240942117,ON
1750240942336,OFF
1750240942744,ON
1750240942962,OFF
1750240943167,ON
1750240943370,OFF
1750240943590,ON
1750240943792,OFF
1750240944012,ON
1750240944215,OFF
1750240944435,ON
1750240944653,OFF
1750240944870,ON
1750240945093,OFF
1750240945314,ON
1750240945533,OFF
1750240945753,ON
1750240945970,OFF
1750240946173,ON
1750240946377,OFF
1750240950011,ON
1750240950215,OFF
1750240950418,ON
1750240950620,OFF
