emg_timestamp_ms;fes_timestamp_ms;estado
1750672258546;1750672258546;ON
1750672264745;1750672264745;OFF
1750672264920;1750672264920;ON
1750672265031;1750672265031;OFF
1750672265049;1750672265049;ON
1750672265145;1750672265145;OFF
1750672268324;1750672268324;ON
1750672270830;1750672270830;OFF
1750672271254;1750672271254;ON
1750672271363;1750672271363;OFF
1750672271808;1750672271808;ON
1750672271910;1750672271910;OFF
1750672272902;1750672272902;ON
1750672273008;1750672273008;OFF
1750672273415;1750672273415;ON
1750672273742;1750672273742;OFF
1750672273859;1750672273859;ON
