emg_timestamp_ms;fes_timestamp_ms;estado
1750687324143;1750687324143;ON
1750687325673;1750687325673;OFF
1750687331316;1750687331316;ON
1750687332427;1750687332427;OFF
1750687332639;1750687332639;ON
1750687333150;1750687333150;OFF
1750687337951;1750687337951;ON
1750687338928;1750687338928;OFF
1750687339136;1750687339136;ON
1750687339372;1750687339372;OFF
1750687345562;1750687345562;ON
1750687346951;1750687346951;OFF
1750687347175;1750687347175;ON
1750687347696;1750687347696;OFF
1750687354227;1750687354227;ON
1750687355336;1750687355336;OFF
1750687355545;1750687355545;ON
1750687356267;1750687356267;OFF
1750687359868;1750687359868;ON
