emg_timestamp_ms;fes_timestamp_ms;estado
1750681961995;1750681961995;ON
1750681966248;1750681966248;OFF
1750681971339;1750681971339;ON
1750681973571;1750681973571;OFF
1750681979910;1750681979910;ON
1750681982189;1750681982189;OFF
1750681987389;1750681987389;ON
1750681990210;1750681990210;OFF
1750681994507;1750681994507;ON
1750681995480;1750681995480;OFF
1750681995702;1750681995702;ON
1750681996783;1750681996783;OFF
1750681996994;1750681996994;ON
1750681997905;1750681997905;OFF
