timestamp_ms,estado
1750240379497,ON
1750240382009,OFF
1750240386623,ON
1750240388162,OFF
1750240388365,ON
1750240389509,OFF
1750240389711,ON
1750240392075,OFF
1750240392280,ON
1750240392485,OFF
1750240396030,ON
1750240396757,OFF
1750240396961,ON
1750240397179,OFF
1750240397383,ON
1750240398847,OFF
1750240399051,ON
1750240399540,OFF
1750240399744,ON
1750240399950,OFF
1750240400155,ON
1750240400372,OFF
1750240400575,ON
1750240400793,OFF
1750240400997,ON
1750240401215,OFF
1750240401420,ON
1750240401624,OFF
1750240401827,ON
1750240402033,OFF
1750240402269,ON
1750240402472,OFF
1750240408120,ON
1750240410930,OFF
1750240411133,ON
1750240411796,OFF
